state,fam_income,race,age,sex,emp,fullpart,work,travel,household,pcare,leisure
Nevada,"$15,000 to $19,999",Black only,48,Male,Employed - at work,Full time,660,20,0,530,140
New York,"$100,000 to $149,999",White only,27,Male,Employed - at work,Full time,0,70,210,575,186
New York,"$100,000 to $149,999",White only,41,Female,Employed - at work,Full time,0,60,75,510,505
Kansas,"$60,000 to $74,999",White only,34,Female,Employed - at work,Full time,490,95,0,572,48
Texas,"$25,000 to $29,999",White only,46,Female,Employed - at work,Full time,0,40,190,595,585
New York,"$150,000 and over",Black only,48,Female,Employed - at work,Full time,90,117,95,743,210
California,"$12,500 to $14,999",White only,48,Female,Employed - at work,Full time,425,17,92,525,180
Nebraska,"$75,000 to $99,999",White only,41,Female,Employed - at work,Full time,0,105,330,450,155
Kansas,"$25,000 to $29,999",White only,47,Male,Employed - at work,Full time,0,34,460,450,421
Florida,"$30,000 to $34,999",White only,39,Female,Employed - at work,Full time,0,6,145,780,429
Alabama,"$100,000 to $149,999",Black only,43,Female,Employed - at work,Full time,0,50,260,620,355
Texas,"$40,000 to $49,999",White only,39,Male,Employed - at work,Full time,605,115,30,480,60
Texas,"$30,000 to $34,999",White only,29,Female,Employed - at work,Full time,0,85,85,810,420
New Jersey,"$50,000 to $59,999",White only,20,Female,Employed - at work,Part time,0,14,0,750,676
Wisconsin,"$100,000 to $149,999",White only,34,Male,Employed - at work,Full time,810,0,0,450,150
South Dakota,"$75,000 to $99,999",White only,27,Female,Employed - at work,Full time,0,17,8,620,685
Indiana,"$150,000 and over",White only,42,Male,Employed - at work,Full time,430,50,0,650,210
Ohio,"$12,500 to $14,999",White only,36,Male,Employed - at work,Full time,465,105,0,505,285
California,"$50,000 to $59,999",White only,34,Male,Employed - at work,Part time,0,30,105,825,345
Florida,"$25,000 to $29,999",Asian only,40,Female,Employed - at work,Full time,0,10,195,795,260
Texas,"$30,000 to $34,999",White only,34,Male,Employed - at work,Full time,550,190,30,470,0
California,"$150,000 and over",White only,42,Male,Employed - at work,Full time,645,150,0,390,195
Ohio,"$30,000 to $34,999",Black only,34,Female,Employed - at work,Full time,0,127,0,480,803
California,"$15,000 to $19,999",White only,20,Male,Employed - at work,Part time,365,95,0,740,190
Arizona,"$50,000 to $59,999",White only,44,Male,Employed - at work,Full time,538,187,15,490,95
California,"$35,000 to $39,999",White only,16,Male,Employed - at work,Part time,0,65,30,547,390
California,"$75,000 to $99,999",White only,36,Male,Employed - at work,Full time,550,85,0,510,60
Virginia,"$60,000 to $74,999",Black only,44,Male,Employed - at work,Full time,490,210,0,450,55
Iowa,"$12,500 to $14,999",White only,33,Female,Employed - at work,Part time,333,40,335,482,30
Florida,"$75,000 to $99,999",White only,47,Male,Employed - at work,Full time,15,20,300,540,255
Illinois,"$60,000 to $74,999",White only,26,Male,Employed - at work,Full time,255,60,0,530,415
Missouri,"$40,000 to $49,999",White only,25,Female,Employed - absent,Full time,0,0,0,600,450
Virginia,"$75,000 to $99,999",White only,24,Female,Employed - at work,Full time,0,60,280,660,290
Florida,"$150,000 and over",White only,41,Female,Employed - at work,Full time,0,59,209,630,251
Hawaii,"$150,000 and over",White-Hawaiian,38,Male,Employed - at work,Full time,543,19,30,528,150
California,"$150,000 and over",White only,43,Female,Employed - at work,Full time,520,40,80,555,75
Illinois,"$50,000 to $59,999",Asian only,36,Male,Employed - at work,Full time,500,45,75,600,150
Washington,"$100,000 to $149,999",White only,44,Female,Employed - at work,Part time,0,23,6,801,519
Nebraska,"$30,000 to $34,999",White only,16,Male,Employed - at work,Full time,580,50,0,420,300
Alabama,"$25,000 to $29,999",White only,28,Male,Employed - at work,Full time,0,87,0,719,394
Kentucky,"$30,000 to $34,999",White only,26,Female,Employed - absent,Full time,0,90,20,810,460
Connecticut,"$12,500 to $14,999",White only,34,Female,Employed - at work,Part time,0,80,290,510,222
Illinois,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,0,54,218,570,345
New York,"$35,000 to $39,999",White only,44,Male,Employed - at work,Full time,475,100,90,660,15
North Carolina,"$75,000 to $99,999",White-Black,45,Male,Employed - at work,Full time,0,115,260,420,432
Illinois,"$35,000 to $39,999",White only,28,Male,Employed - absent,Full time,0,22,293,570,390
Florida,"$150,000 and over",White only,39,Male,Employed - at work,Full time,0,220,90,620,300
North Carolina,"$75,000 to $99,999",White only,29,Male,Employed - at work,Full time,0,70,60,610,420
Minnesota,"$20,000 to $24,999",Asian only,43,Female,Employed - at work,Part time,60,234,0,746,0
Ohio,"$50,000 to $59,999",White only,47,Male,Employed - at work,Full time,720,130,90,345,90
California,"$15,000 to $19,999",White only,20,Male,Employed - at work,Part time,380,98,0,481,293
Iowa,"$75,000 to $99,999",White only,36,Female,Employed - at work,Full time,720,0,0,360,300
Georgia,"$100,000 to $149,999",Black only,43,Male,Employed - at work,Full time,595,70,0,730,0
Florida,"$100,000 to $149,999",White only,34,Female,Employed - at work,Full time,0,0,65,660,578
Pennsylvania,"$100,000 to $149,999",White only,37,Male,Employed - at work,Full time,0,70,5,300,990
Nevada,"$100,000 to $149,999",White only,47,Female,Employed - at work,Full time,0,24,72,598,161
Massachusetts,"$75,000 to $99,999",White only,45,Female,Employed - at work,Full time,0,76,45,620,434
Washington,"$150,000 and over",White only,40,Male,Employed - at work,Full time,45,360,205,595,85
Georgia,"$35,000 to $39,999",White only,47,Male,Employed - at work,Full time,0,0,480,570,200
Texas,"$30,000 to $34,999",Asian only,41,Female,Employed - at work,Full time,0,20,305,495,350
Texas,"$100,000 to $149,999",White only,18,Female,Employed - at work,Part time,0,172,15,270,458
California,"$20,000 to $24,999",Asian only,35,Female,Employed - at work,Full time,0,30,30,630,115
Ohio,"$30,000 to $34,999",White only,42,Male,Employed - absent,Full time,0,0,180,480,540
Georgia,"$60,000 to $74,999",Black only,39,Male,Employed - at work,Full time,0,0,0,810,570
Minnesota,"$150,000 and over",White only,41,Male,Employed - at work,Full time,0,120,90,525,495
California,"$75,000 to $99,999",White only,32,Female,Employed - absent,Full time,120,16,90,443,60
Arizona,"$40,000 to $49,999",White only,28,Female,Employed - at work,Full time,5,20,55,930,360
Nevada,"$15,000 to $19,999",White only,16,Male,Employed - at work,Part time,0,62,0,698,550
North Carolina,"$5,000 to $7,499",Black only,21,Female,Employed - at work,Full time,0,22,163,810,305
Georgia,"$50,000 to $59,999",White only,45,Male,Employed - at work,Full time,620,10,360,270,180
South Carolina,"$50,000 to $59,999",White only,47,Female,Employed - at work,Full time,418,119,193,495,150
California,"$35,000 to $39,999",White only,26,Male,Employed - at work,Full time,720,120,40,560,0
Illinois,"$50,000 to $59,999",White only,24,Female,Employed - at work,Full time,435,155,110,410,105
Ohio,"$7,500 to $9,999",Black only,35,Male,Employed - at work,Part time,510,45,90,465,185
Arizona,"$35,000 to $39,999",White only,21,Female,Employed - at work,Full time,485,60,0,485,225
New Mexico,"$35,000 to $39,999",White only,46,Female,Employed - at work,Full time,425,50,0,715,190
Kentucky,"$50,000 to $59,999",White only,26,Male,Employed - at work,Full time,560,100,0,445,75
Utah,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,0,595,620,150
Florida,"$150,000 and over",White only,43,Male,Employed - at work,Full time,495,150,0,510,155
Kentucky,"$50,000 to $59,999",White only,27,Female,Employed - at work,Full time,475,60,40,500,195
Pennsylvania,"$75,000 to $99,999",White only,49,Male,Employed - at work,Full time,470,95,45,520,225
Florida,"$75,000 to $99,999",Black only,44,Female,Employed - at work,Full time,580,115,0,546,35
Utah,"$75,000 to $99,999",White only,40,Female,Employed - absent,Part time,0,30,0,410,770
Missouri,"$60,000 to $74,999",White only,31,Male,Employed - at work,Full time,510,36,160,564,115
California,"$150,000 and over",White only,36,Female,Employed - at work,Full time,465,60,20,545,90
Hawaii,"$25,000 to $29,999",White only,30,Male,Employed - at work,Full time,0,260,0,560,270
Oklahoma,"$35,000 to $39,999",Asian only,44,Female,Employed - at work,Full time,0,0,1125,240,0
New York,"$150,000 and over",White only,45,Female,Employed - at work,Full time,740,10,105,495,0
Pennsylvania,"$7,500 to $9,999",Black only,20,Male,Employed - at work,Full time,450,100,0,470,420
Maryland,"$150,000 and over",White only,43,Female,Employed - at work,Part time,452,113,165,430,150
Pennsylvania,"$60,000 to $74,999",White only,45,Male,Employed - at work,Full time,0,30,135,635,535
Texas,"$12,500 to $14,999",White only,44,Female,Employed - at work,Part time,257,30,270,573,90
Texas,"$100,000 to $149,999",White only,32,Female,Employed - at work,Full time,460,130,15,460,290
Idaho,"$150,000 and over",White only,45,Male,Employed - at work,Full time,0,122,215,558,360
California,"$150,000 and over",White only,43,Male,Employed - at work,Full time,420,181,45,412,200
Alabama,"$40,000 to $49,999",White only,48,Male,Employed - at work,Full time,705,0,75,475,65
Georgia,"$60,000 to $74,999",White only,30,Male,Employed - at work,Full time,90,60,125,525,285
Texas,"$40,000 to $49,999",White only,25,Male,Employed - at work,Full time,525,70,75,535,60
California,"$60,000 to $74,999",White only,28,Male,Employed - at work,Full time,350,105,35,652,60
Michigan,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,520,60,297,460,15
Pennsylvania,"$35,000 to $39,999",Black only,21,Male,Employed - at work,Full time,335,150,0,400,480
California,"$60,000 to $74,999",White only,41,Male,Employed - at work,Full time,564,40,20,594,180
Arizona,"$40,000 to $49,999",White only,40,Female,Employed - absent,Full time,0,70,10,740,465
Indiana,"$40,000 to $49,999",White only,44,Male,Employed - at work,Full time,700,110,0,220,300
Kansas,"$50,000 to $59,999",White only,42,Male,Employed - at work,Full time,0,180,120,720,270
Rhode Island,"$100,000 to $149,999",Asian only,42,Female,Employed - at work,Full time,355,10,150,600,45
New York,"$10,000 to $12,499",White only,34,Female,Employed - at work,Part time,0,0,345,729,160
Indiana,"$40,000 to $49,999",White only,42,Male,Employed - at work,Full time,0,0,0,360,960
South Carolina,"$25,000 to $29,999",Black only,31,Female,Employed - at work,Full time,552,49,75,559,40
New York,"$40,000 to $49,999",White only,37,Female,Employed - at work,Full time,0,135,5,690,510
Washington,"$5,000 to $7,499",White-American Indian,31,Female,Employed - at work,Part time,280,70,240,630,135
Oklahoma,"$100,000 to $149,999",White only,44,Male,Employed - at work,Full time,970,75,0,250,145
Kentucky,"$40,000 to $49,999",White only,29,Female,Employed - at work,Full time,621,27,55,425,240
Michigan,"$75,000 to $99,999",White only,43,Male,Employed - absent,Full time,0,110,60,645,380
Washington,"$60,000 to $74,999",White only,26,Female,Employed - absent,Full time,0,90,125,680,293
California,"$75,000 to $99,999",White only,35,Male,Employed - at work,Full time,0,430,30,645,270
Massachusetts,"$100,000 to $149,999",White only,41,Male,Employed - at work,Full time,30,140,75,638,330
North Carolina,"Less than $5,000",Black only,33,Female,Employed - at work,Full time,513,152,30,560,160
South Dakota,"$5,000 to $7,499","American Indian, Alaskan Native",28,Female,Employed - at work,Part time,0,35,195,660,302
California,"$150,000 and over",White only,38,Female,Employed - at work,Full time,515,155,15,535,50
Texas,"$100,000 to $149,999",White only,37,Male,Employed - at work,Full time,525,65,20,450,120
Wisconsin,"$60,000 to $74,999",White only,32,Male,Employed - at work,Full time,0,30,270,460,410
Michigan,"$35,000 to $39,999",White only,37,Male,Employed - at work,Full time,90,0,598,570,60
New York,"$5,000 to $7,499",White only,30,Male,Employed - at work,Full time,0,165,0,605,500
Texas,"$150,000 and over",Asian only,46,Male,Employed - at work,Full time,685,40,45,370,195
Massachusetts,"$7,500 to $9,999",White only,47,Female,Employed - at work,Part time,0,20,50,345,435
District of Columbia,"$75,000 to $99,999",White only,37,Male,Employed - at work,Full time,445,80,0,540,270
Maryland,"$100,000 to $149,999",White only,39,Female,Employed - at work,Part time,685,120,0,575,30
Washington,"$60,000 to $74,999",Hawaiian Pacific Islander only,33,Male,Employed - at work,Full time,690,125,0,555,0
New Jersey,"$150,000 and over",White only,48,Male,Employed - at work,Full time,520,180,15,455,180
New York,"$40,000 to $49,999",Black only,47,Male,Employed - absent,Full time,0,90,60,615,630
Alabama,"$50,000 to $59,999",Black only,36,Female,Employed - at work,Full time,570,45,60,580,40
Wisconsin,"$30,000 to $34,999",White only,40,Male,Employed - at work,Full time,0,39,90,370,511
Ohio,"$40,000 to $49,999",White only,32,Female,Employed - at work,Full time,200,103,20,607,381
Arizona,"$60,000 to $74,999",White only,40,Male,Employed - at work,Full time,0,0,64,580,615
Missouri,"$30,000 to $34,999",White only,47,Female,Employed - at work,Full time,0,10,270,570,545
New Jersey,"$150,000 and over",White only,39,Male,Employed - at work,Full time,645,35,0,460,250
New York,"$60,000 to $74,999",White only,45,Male,Employed - at work,Full time,0,30,30,570,665
Virginia,"$150,000 and over",White only,39,Male,Employed - at work,Full time,135,20,200,350,400
Texas,"$40,000 to $49,999",White only,49,Female,Employed - at work,Full time,531,109,22,440,148
Michigan,"$10,000 to $12,499",White only,22,Male,Employed - at work,Part time,0,10,45,570,765
Texas,"$100,000 to $149,999",White only,44,Female,Employed - at work,Part time,10,50,235,572,247
Wisconsin,"$150,000 and over",White only,48,Male,Employed - at work,Full time,375,45,50,480,155
Pennsylvania,"$60,000 to $74,999",Asian only,30,Female,Employed - at work,Full time,0,120,185,670,345
Nevada,"$15,000 to $19,999",White only,46,Female,Employed - at work,Full time,0,40,330,680,300
Michigan,"$25,000 to $29,999",White only,33,Female,Employed - at work,Full time,535,30,105,615,0
Texas,"$15,000 to $19,999",White only,36,Male,Employed - at work,Full time,575,165,30,495,90
Kansas,"$20,000 to $24,999",White only,30,Female,Employed - at work,Full time,0,85,90,510,645
California,"$5,000 to $7,499",White only,20,Male,Employed - at work,Part time,0,27,195,750,253
California,"$15,000 to $19,999",White only,35,Female,Employed - at work,Full time,450,30,140,605,180
Illinois,"$20,000 to $24,999",White only,27,Male,Employed - at work,Full time,255,40,20,790,255
Nebraska,"$100,000 to $149,999",White only,37,Female,Employed - at work,Full time,0,22,360,530,150
Virginia,"$30,000 to $34,999",White only,20,Male,Employed - at work,Full time,500,310,0,390,195
Oregon,"$100,000 to $149,999",White only,49,Male,Employed - at work,Full time,406,148,60,465,265
California,"$75,000 to $99,999",White only,40,Male,Employed - at work,Full time,600,80,15,480,158
Nevada,"$60,000 to $74,999",White only,40,Male,Employed - at work,Full time,680,70,0,610,30
Indiana,"$100,000 to $149,999",White only,41,Female,Employed - at work,Part time,290,170,135,520,95
California,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,270,60,120,515,270
Michigan,"$100,000 to $149,999",Asian only,41,Male,Employed - at work,Full time,465,60,60,590,145
California,"$35,000 to $39,999",White only,33,Male,Employed - at work,Full time,0,2,140,809,459
Texas,"$60,000 to $74,999",White only,48,Female,Employed - at work,Full time,0,130,166,624,192
Texas,"$60,000 to $74,999",White only,36,Male,Employed - at work,Full time,850,50,45,335,60
North Carolina,"$100,000 to $149,999",White only,43,Male,Employed - at work,Full time,0,59,205,563,463
New Jersey,"$40,000 to $49,999",White only,37,Male,Employed - at work,Part time,0,45,75,690,135
South Carolina,"$25,000 to $29,999",Black only,41,Male,Employed - at work,Full time,710,37,75,471,95
North Carolina,"$150,000 and over",White only,43,Female,Employed - at work,Part time,365,95,105,515,180
Florida,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,615,38,0,525,240
Oregon,"Less than $5,000",White only,37,Male,Employed - at work,Part time,0,100,5,155,1050
California,"$150,000 and over",White only,40,Female,Employed - at work,Full time,530,90,5,506,203
Arizona,"$25,000 to $29,999","American Indian, Alaskan Native",24,Female,Employed - at work,Full time,482,100,15,420,206
Texas,"$100,000 to $149,999",White only,22,Male,Employed - at work,Full time,0,235,30,675,355
Illinois,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,0,465,20,300,460
Pennsylvania,"$50,000 to $59,999",White only,42,Female,Employed - at work,Full time,0,98,10,740,397
Pennsylvania,"$75,000 to $99,999",White only,32,Male,Employed - at work,Full time,0,45,270,415,195
Pennsylvania,"$150,000 and over",White only,46,Female,Employed - at work,Part time,428,80,117,505,215
California,"$100,000 to $149,999",White-American Indian,29,Female,Employed - at work,Full time,495,130,10,530,270
Virginia,"$50,000 to $59,999",White only,34,Female,Employed - at work,Full time,480,0,0,555,300
Ohio,"$150,000 and over",White only,49,Female,Employed - at work,Full time,0,90,195,495,450
Kansas,"$40,000 to $49,999",White only,31,Female,Employed - at work,Full time,0,13,532,691,159
New Jersey,"$100,000 to $149,999",White only,47,Female,Employed - absent,Full time,0,4,155,660,441
Pennsylvania,"$100,000 to $149,999",White only,47,Female,Employed - at work,Full time,735,80,10,445,120
Montana,"$15,000 to $19,999",White only,45,Female,Employed - at work,Full time,538,24,230,393,210
Utah,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,0,40,120,570,335
Michigan,"$150,000 and over",White only,25,Female,Employed - at work,Full time,0,20,20,784,495
Colorado,"$50,000 to $59,999",White only,27,Male,Employed - at work,Full time,0,70,65,585,665
Texas,"$25,000 to $29,999",White only,43,Female,Employed - at work,Full time,335,10,125,958,0
Indiana,"$60,000 to $74,999",White only,19,Female,Employed - at work,Full time,545,90,15,410,265
Arizona,"$150,000 and over",White only,39,Female,Employed - at work,Full time,0,10,455,580,130
Minnesota,"$75,000 to $99,999",White only,33,Male,Employed - at work,Full time,465,50,300,440,30
Florida,"$25,000 to $29,999",Asian only,42,Male,Employed - at work,Full time,0,135,0,780,505
Massachusetts,"$25,000 to $29,999",White only,24,Male,Employed - at work,Full time,550,55,0,470,345
Washington,"$100,000 to $149,999",White only,37,Female,Employed - at work,Part time,480,135,65,375,300
New York,"$7,500 to $9,999",White only,31,Female,Employed - at work,Full time,0,32,230,420,413
New York,"$12,500 to $14,999",Black only,48,Female,Employed - at work,Part time,345,105,0,510,370
California,"$150,000 and over",White only,22,Male,Employed - at work,Part time,30,10,45,390,590
Massachusetts,"$50,000 to $59,999",Black only,17,Female,Employed - at work,Full time,0,47,80,660,363
Michigan,"$60,000 to $74,999",White only,34,Female,Employed - at work,Full time,0,60,30,720,375
North Carolina,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,550,100,0,510,205
Ohio,"$40,000 to $49,999",White only,44,Male,Employed - at work,Full time,480,90,0,735,0
Utah,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,460,74,70,540,210
Mississippi,"$150,000 and over",White only,36,Male,Employed - at work,Full time,0,380,0,495,455
District of Columbia,"$12,500 to $14,999",Black only,49,Male,Employed - at work,Part time,430,40,0,490,460
Illinois,"$60,000 to $74,999",White only,47,Male,Employed - at work,Full time,480,110,120,450,0
North Carolina,"$75,000 to $99,999",White only,37,Male,Employed - absent,Full time,0,40,210,635,495
New York,"$15,000 to $19,999",Asian only,43,Female,Employed - absent,Full time,0,51,403,565,200
Pennsylvania,"$5,000 to $7,499",Black only,21,Female,Employed - at work,Part time,315,55,0,500,448
Florida,"$75,000 to $99,999",Black only,30,Female,Employed - absent,Full time,605,20,0,590,55
Colorado,"$7,500 to $9,999",White only,35,Female,Employed - at work,Full time,0,20,180,710,300
Nebraska,"$30,000 to $34,999",White only,44,Male,Employed - at work,Full time,645,67,45,397,226
North Carolina,"$60,000 to $74,999",White only,47,Female,Employed - at work,Full time,0,112,30,823,180
Texas,"$25,000 to $29,999",White only,30,Male,Employed - at work,Part time,360,128,0,405,262
Minnesota,"$20,000 to $24,999",Black only,16,Male,Employed - at work,Part time,0,35,30,740,535
Ohio,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,515,100,65,360,150
California,"$12,500 to $14,999",White only,46,Male,Employed - at work,Full time,0,385,30,485,370
Illinois,"$20,000 to $24,999",White only,40,Female,Employed - at work,Full time,475,52,0,465,258
Georgia,"$50,000 to $59,999",White only,38,Male,Employed - at work,Full time,592,70,10,422,214
Illinois,"$40,000 to $49,999",White only,17,Female,Employed - at work,Part time,275,100,15,660,210
Washington,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,0,85,435,610,0
Virginia,"$150,000 and over",White only,44,Female,Employed - at work,Part time,0,145,167,585,259
Texas,"$150,000 and over",White only,35,Female,Employed - at work,Full time,520,115,12,528,252
Illinois,"$75,000 to $99,999",White only,38,Female,Employed - at work,Full time,0,40,192,860,274
Utah,"$75,000 to $99,999",White only,17,Male,Employed - at work,Part time,511,37,60,607,130
Texas,"$7,500 to $9,999",White only,40,Female,Employed - at work,Full time,0,0,600,510,255
Illinois,"$150,000 and over",White only,43,Male,Employed - at work,Full time,0,65,375,630,105
Texas,"$50,000 to $59,999",White only,38,Male,Employed - at work,Full time,480,210,0,485,120
Oregon,"$20,000 to $24,999",White only,36,Female,Employed - at work,Full time,10,132,46,484,618
Florida,"$10,000 to $12,499",Black only,26,Male,Employed - at work,Part time,405,132,90,415,218
South Carolina,"$75,000 to $99,999",White only,34,Male,Employed - absent,Full time,0,680,60,510,60
Colorado,"$75,000 to $99,999",White only,35,Male,Employed - at work,Full time,615,34,30,400,86
Rhode Island,"$15,000 to $19,999","American Indian, Alaskan Native",49,Female,Employed - at work,Full time,580,110,75,505,110
Minnesota,"$150,000 and over",White only,34,Female,Employed - at work,Full time,430,120,180,685,0
Virginia,"$60,000 to $74,999",White only,33,Male,Employed - at work,Full time,440,85,60,470,175
California,"$75,000 to $99,999",Black only,33,Female,Employed - at work,Full time,5,150,150,580,415
Texas,"$50,000 to $59,999",White only,32,Female,Employed - at work,Full time,0,175,65,640,235
Texas,"$75,000 to $99,999",White only,47,Male,Employed - at work,Full time,515,185,13,480,150
Texas,"$60,000 to $74,999",White only,49,Female,Employed - at work,Full time,514,100,0,435,288
Illinois,"$40,000 to $49,999",Black only,49,Female,Employed - at work,Full time,0,15,60,850,145
Texas,"$50,000 to $59,999",White only,36,Male,Employed - at work,Full time,480,90,0,810,0
Ohio,"$60,000 to $74,999",White only,37,Female,Employed - absent,Full time,30,51,22,762,345
Pennsylvania,"$100,000 to $149,999",White only,48,Female,Employed - at work,Full time,30,60,245,420,495
Indiana,"$40,000 to $49,999",White only,49,Female,Employed - at work,Full time,543,94,5,481,193
California,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,535,50,45,505,150
Texas,"$150,000 and over",White only,47,Male,Employed - absent,Full time,15,140,0,690,535
California,"$30,000 to $34,999",White only,23,Female,Employed - at work,Full time,0,80,360,564,320
New York,"$100,000 to $149,999",Black only,23,Male,Employed - at work,Full time,0,90,0,709,410
Texas,"$50,000 to $59,999",White only,43,Female,Employed - at work,Full time,490,70,30,510,235
Pennsylvania,"$50,000 to $59,999",White only,33,Male,Employed - at work,Full time,830,40,2,330,198
California,"$100,000 to $149,999","American Indian, Alaskan Native",26,Female,Employed - at work,Full time,0,150,30,630,445
Wisconsin,"$60,000 to $74,999",White only,37,Male,Employed - absent,Full time,0,40,60,615,630
Florida,"$60,000 to $74,999",White only,30,Female,Employed - at work,Full time,540,45,90,655,60
Washington,"$100,000 to $149,999",White only,40,Female,Employed - at work,Full time,0,140,20,510,360
California,"$60,000 to $74,999",Asian only,31,Female,Employed - at work,Full time,765,120,0,270,0
Illinois,"$50,000 to $59,999",White only,49,Male,Employed - at work,Full time,30,125,97,530,596
California,"$75,000 to $99,999",White only,40,Female,Employed - at work,Full time,40,14,401,560,240
Pennsylvania,"$40,000 to $49,999",Black only,26,Female,Employed - at work,Full time,0,0,120,900,360
Texas,"$40,000 to $49,999",White only,31,Female,Employed - at work,Full time,0,20,165,800,410
Maryland,"$30,000 to $34,999",White only,42,Female,Employed - at work,Full time,445,113,50,645,110
California,"$15,000 to $19,999",White only,40,Male,Employed - at work,Full time,652,52,15,486,175
Texas,"$150,000 and over",White only,48,Male,Employed - at work,Full time,180,55,0,835,250
Indiana,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,0,390,90,695,120
Louisiana,"$100,000 to $149,999",White only,31,Female,Employed - at work,Full time,535,56,20,505,35
Maryland,"$60,000 to $74,999",White only,49,Female,Employed - at work,Full time,470,90,45,495,205
California,"$25,000 to $29,999",White only,24,Female,Employed - at work,Full time,0,20,170,335,0
Georgia,"$60,000 to $74,999",White only,45,Male,Employed - at work,Full time,0,229,0,610,376
Ohio,"$5,000 to $7,499",White only,28,Female,Employed - at work,Part time,295,55,0,890,0
Wisconsin,"$75,000 to $99,999",White only,30,Female,Employed - at work,Full time,563,115,132,450,60
Washington,"$35,000 to $39,999",White only,19,Female,Employed - at work,Part time,385,50,0,530,435
Maryland,"$60,000 to $74,999",Black only,40,Male,Employed - at work,Full time,300,18,30,587,240
New Hampshire,"$150,000 and over",White only,41,Female,Employed - at work,Full time,170,112,88,530,337
South Carolina,"$35,000 to $39,999",White only,42,Male,Employed - at work,Full time,0,38,45,560,684
Virginia,"$60,000 to $74,999",White only,48,Female,Employed - at work,Full time,0,105,230,490,420
Ohio,"$60,000 to $74,999",White only,41,Female,Employed - at work,Full time,0,75,340,511,435
Pennsylvania,"$25,000 to $29,999",White only,27,Male,Employed - at work,Part time,240,40,30,788,332
Wisconsin,"$75,000 to $99,999",White only,36,Female,Employed - at work,Part time,5,30,445,450,450
Texas,"$75,000 to $99,999",White-American Indian,43,Female,Employed - at work,Full time,253,175,91,596,60
Michigan,"$100,000 to $149,999",White only,28,Female,Employed - absent,Full time,180,4,270,540,236
Maryland,"$20,000 to $24,999",Asian only,42,Female,Employed - absent,Part time,0,50,200,570,125
Ohio,"$150,000 and over",White only,16,Female,Employed - at work,Part time,235,31,20,570,517
Texas,"$60,000 to $74,999",White only,29,Male,Employed - at work,Full time,0,40,250,655,425
Colorado,"$100,000 to $149,999",White only,28,Female,Employed - at work,Part time,0,144,250,635,140
Illinois,"$50,000 to $59,999",Black only,31,Male,Employed - at work,Full time,437,346,0,370,287
Tennessee,"$60,000 to $74,999",White only,30,Female,Employed - at work,Full time,355,90,30,635,105
Michigan,"$75,000 to $99,999",White only,35,Male,Employed - at work,Full time,764,31,40,570,30
Alabama,"$20,000 to $24,999",White only,22,Male,Employed - at work,Full time,180,150,260,515,120
Arkansas,"$35,000 to $39,999",White only,41,Male,Employed - at work,Full time,500,96,170,446,80
Indiana,"$7,500 to $9,999",Asian only,32,Male,Employed - absent,Full time,110,160,0,510,295
Ohio,"$150,000 and over",White only,47,Female,Employed - at work,Full time,285,53,192,565,205
Ohio,"$60,000 to $74,999",White only,35,Female,Employed - absent,Full time,0,79,115,721,270
Georgia,"$50,000 to $59,999",White only,38,Male,Employed - at work,Full time,0,50,200,750,320
California,"$150,000 and over","American Indian, Alaskan Native",42,Female,Employed - at work,Full time,570,80,110,540,0
North Carolina,"$100,000 to $149,999",White only,37,Female,Employed - at work,Full time,60,113,250,630,135
Nevada,"$15,000 to $19,999","American Indian, Alaskan Native",38,Male,Employed - at work,Full time,550,140,0,480,40
California,"$35,000 to $39,999",Asian only,43,Female,Employed - at work,Part time,0,90,245,414,390
Texas,"$150,000 and over",White only,47,Female,Employed - at work,Full time,481,105,27,480,188
New York,"Less than $5,000",White only,27,Female,Employed - at work,Full time,470,70,35,530,215
Florida,"$60,000 to $74,999",White only,49,Male,Employed - at work,Full time,645,190,0,360,155
Florida,"$20,000 to $24,999",White only,17,Female,Employed - at work,Part time,450,70,1,564,210
Missouri,"$35,000 to $39,999",White only,39,Female,Employed - at work,Full time,0,100,315,600,60
Florida,"$20,000 to $24,999",Black only,27,Female,Employed - at work,Full time,40,55,110,785,186
Kentucky,"$60,000 to $74,999",White only,37,Female,Employed - at work,Part time,0,105,477,575,100
Kansas,"$15,000 to $19,999",White only,25,Male,Employed - at work,Full time,347,255,60,555,220
Texas,"$75,000 to $99,999",White only,29,Female,Employed - at work,Full time,517,79,98,431,150
Massachusetts,"$150,000 and over",White only,49,Male,Employed - at work,Full time,420,129,105,438,215
California,"$20,000 to $24,999",Black only,35,Male,Employed - at work,Full time,815,30,0,455,65
